,Winner,T1_TwitterVol,T2_TwitterVol,T1_FansSent,T2_FansSent,T1_FansPred,T2_FansPred
360,0,0.753424658,0.246575342,0.706102117,0.212951432,1,0
361,0,0.69047619,0.30952381,0.428571429,0.285714286,0,0
362,0,0.482014388,0.517985612,0.309352518,0.402877698,0,1
363,1,0.503355705,0.496644295,0.348993289,0.33557047,0.5,0.5
364,1,0.86728972,0.13271028,0.770093458,0.11588785,1,0
365,0,0.831439394,0.168560606,0.776515152,0.126893939,0.75,0.25
366,1,0.8187251,0.1812749,0.794820717,0.143426295,1,0
367,0,0.535626536,0.464373464,0.368550369,0.388206388,1,0
368,0,0.479487179,0.520512821,0.394871795,0.456410256,0,1
369,1,0.503937008,0.496062992,0.422572178,0.43832021,0.5,0.5
370,1,0.510638298,0.489361702,0.361702128,0.319148936,0,0
371,1,0.55,0.45,0.463157895,0.410526316,1,0
372,0,0.403846154,0.596153846,0.269230769,0.423076923,0,0
373,0,0.556728232,0.443271768,0.503957784,0.377308707,1,0
374,1,0.365853659,0.634146341,0.243902439,0.463414634,0,0
375,0,0.752699784,0.247300216,0.731101512,0.195464363,1,0
376,1,0.744751381,0.255248619,0.710497238,0.217679558,0.8,0.2
377,0,0.720930233,0.279069767,0.696566999,0.266888151,0.666666667,0.333333333
378,1,0.706451613,0.293548387,0.62688172,0.265591398,0.5,0.5
379,1,0.723243243,0.276756757,0.673513514,0.245405405,0.75,0.25
380,1,0.76,0.24,0.615,0.18,0,0
381,1,0.762790698,0.237209302,0.68372093,0.148837209,1,0
382,1,0.776649746,0.223350254,0.675126904,0.157360406,0,0
383,1,0.877777778,0.122222222,0.755555556,0.1,0,0
384,0,0.75462963,0.24537037,0.652777778,0.101851852,1,0
385,1,0.760204082,0.239795918,0.658163265,0.12244898,1,0
386,1,0.714953271,0.285046729,0.635514019,0.177570093,0,0
387,1,0.754285714,0.245714286,0.568571429,0.204285714,1,0
388,1,0.776183644,0.223816356,0.578192253,0.163558106,1,0
389,1,0.770893372,0.229106628,0.678674352,0.177233429,0.666666667,0.333333333
390,0,0.260869565,0.739130435,0.248447205,0.627329193,0,1
391,1,0.44,0.56,0.36,0.348571429,0.5,0.5
392,1,0.50625,0.49375,0.49375,0.3875,0,0
393,0,0.493670886,0.506329114,0.436708861,0.449367089,0,0
394,1,0.541436464,0.458563536,0.392265193,0.370165746,1,0
395,0,0.402203857,0.597796143,0.300275482,0.512396694,0.666666667,0.333333333
396,0,0.415343915,0.584656085,0.293650794,0.515873016,0.333333333,0.666666667
397,0,0.472584856,0.527415144,0.331592689,0.475195822,0,1
398,1,0.454545455,0.545454545,0.277922078,0.449350649,0.5,0.5
399,1,0.390756303,0.609243697,0.226890756,0.445378151,0,1
400,0,0.400977995,0.599022005,0.300733496,0.540342298,0.5,0.5
401,0,0.38,0.62,0.324444444,0.491111111,0,1
402,0,0.428571429,0.571428571,0.344671202,0.496598639,0.5,0.5
403,1,0.783405172,0.216594828,0.737068966,0.179956897,0.857142857,0.142857143
404,0,0.803960396,0.196039604,0.763366337,0.169306931,0.818181818,0.181818182
405,0,0.783120707,0.216879293,0.750736016,0.208047105,0.727272727,0.272727273
406,1,0.46875,0.53125,0.341796875,0.2890625,1,0
407,0,0.446280992,0.553719008,0.26446281,0.421487603,0,1
408,0,0.429577465,0.570422535,0.316901408,0.478873239,0.5,0.5
409,0,0.370689655,0.629310345,0.181034483,0.448275862,0,0
410,1,0.405172414,0.594827586,0.275862069,0.405172414,0,1
411,0,0.380952381,0.619047619,0.166666667,0.523809524,0,1
412,0,0.424242424,0.575757576,0.227272727,0.406060606,0.333333333,0.666666667
413,0,0.375816993,0.624183007,0.264705882,0.467320261,0,1
414,1,0.411371237,0.588628763,0.337792642,0.444816054,0.5,0.5
415,0,0.396721311,0.603278689,0.321311475,0.48852459,0.333333333,0.666666667
416,1,0.405498282,0.594501718,0.254295533,0.419243986,0,1
417,1,0.354700855,0.645299145,0.205128205,0.414529915,0,0
418,1,0.440909091,0.559090909,0.286363636,0.445454545,0.5,0.5
419,1,0.529644269,0.470355731,0.442687747,0.339920949,1,0
420,0,0.268623025,0.731376975,0.250564334,0.638826185,0,1
421,1,0.659025788,0.340974212,0.585959885,0.302292264,0.333333333,0.666666667
422,1,0.518934081,0.481065919,0.454417952,0.412342216,0.2,0.8
423,0,0.59283237,0.40716763,0.536878613,0.33132948,0.75,0.25
424,1,0.372434018,0.627565982,0.307917889,0.519061584,0,0
425,1,0.739823009,0.260176991,0.587020649,0.2,0.714285714,0.285714286
426,1,0.561085973,0.438914027,0.529411765,0.401206637,0.75,0.25
427,1,0.520512821,0.479487179,0.424358974,0.430769231,0.666666667,0.333333333
428,1,0.681114551,0.318885449,0.535603715,0.232198142,0,1
429,1,0.53960396,0.46039604,0.485148515,0.356435644,0,1
430,1,0.556284153,0.443715847,0.46557377,0.387978142,0.571428571,0.428571429
431,0,0.772637795,0.227362205,0.714566929,0.18996063,0.857142857,0.142857143
432,1,0.511777302,0.488222698,0.450749465,0.433618844,0.666666667,0.333333333
433,1,0.497652582,0.502347418,0.408450704,0.38028169,0.5,0.5
434,1,0.760532151,0.239467849,0.614190687,0.188470067,0.666666667,0.333333333
435,0,0.518041237,0.481958763,0.734536082,0.391752577,0,0
436,1,0.489230769,0.510769231,0.38,0.389230769,0.727272727,0.272727273
437,0,0.751578947,0.248421053,0.494736842,0.227368421,0.75,0.25
438,0,0.554443054,0.445556946,0.521902378,0.403003755,0.571428571,0.428571429
439,0,0.614071038,0.385928962,0.345628415,0.357240437,0.65,0.35
440,1,0.671952428,0.328047572,0.617443013,0.313181368,0.705882353,0.294117647
441,1,0.729487179,0.270512821,0.688461538,0.232051282,0.714285714,0.285714286
442,1,0.707865169,0.292134831,0.617977528,0.157303371,1,0
443,1,0.843112245,0.156887755,0.732142857,0.110969388,1,0
444,1,0.704022989,0.295977011,0.606321839,0.204022989,1,0
445,1,0.700483092,0.299516908,0.648953301,0.259259259,0.666666667,0.333333333
446,1,0.650485437,0.349514563,0.57605178,0.294498382,0.8,0.2
447,1,0.685185185,0.314814815,0.62962963,0.237654321,0.5,0.5
448,1,0.684713376,0.315286624,0.630573248,0.207006369,1,0
449,1,0.74351585,0.25648415,0.674351585,0.175792507,1,0
450,0,0.626582278,0.373417722,0.483122363,0.324894515,1,0
451,1,0.600849257,0.399150743,0.511677282,0.341825902,0.75,0.25
452,0,0.668997669,0.331002331,0.58974359,0.296037296,0.666666667,0.333333333
453,1,0.581858407,0.418141593,0.524336283,0.362831858,0.5,0.5
454,0,0.568888889,0.431111111,0.531111111,0.382222222,1,0
455,1,0.718816068,0.281183932,0.575052854,0.243128964,0.8,0.2
456,1,0.657718121,0.342281879,0.5950783,0.286353468,0.666666667,0.333333333
457,1,0.805483029,0.194516971,0.745430809,0.133159269,0.666666667,0.333333333
458,1,0.622559653,0.377440347,0.579175705,0.292841649,0.6,0.4
459,1,0.786279683,0.213720317,0.745382586,0.172823219,0.8,0.2
460,0,0.661363636,0.338636364,0.584090909,0.277272727,0.666666667,0.333333333
461,1,0.781609195,0.218390805,0.74201788,0.163473819,0.714285714,0.285714286
462,1,0.762006403,0.237993597,0.717182497,0.186766275,0.8,0.2
463,1,0.763513514,0.236486486,0.690315315,0.175675676,1,0
464,1,0.773796193,0.226203807,0.139977604,0.171332587,0.8,0.2
465,0,0.60816777,0.39183223,0.513245033,0.312362031,0.666666667,0.333333333
466,1,0.547169811,0.452830189,0.49475891,0.368972746,1,0
