,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
74,75,Europe,53,7.47,7.52,0.32,0.32,0.91,1.208,51,6.99,7.82,0.3,0.37,0.83,0.645,0
75,76,America,57,6.94,7.05,0.33,0.35,0.82,1.28,41,7.38,7.88,0.28,0.33,0.94,0.952,1
76,77,America,58,6.95,7.06,0.33,0.35,0.82,1.32,42,7.37,7.88,0.28,0.33,0.94,0.909,1
77,78,Asia,51,7.31,7.36,0.32,0.32,0.89,1.428,44,7.01,7.32,0.31,0.33,0.85,1.315,1
78,79,Asia,52,7.27,7.31,0.32,0.32,0.88,1.476,45,6.95,7.28,0.31,0.33,0.85,1.25,1
79,80,Asia,53,7.26,7.29,0.32,0.32,0.87,1.523,46,6.93,7.28,0.3,0.33,0.84,1.19,0
80,81,Europe,54,7.5,7.56,0.31,0.32,0.91,1.16,56,7.77,7.44,0.33,0.33,0.92,1.074,0
81,82,Europe,55,7.55,7.65,0.31,0.32,0.92,1.115,57,7.85,7.49,0.33,0.33,0.94,1.111,1
82,83,Asia,40,7.55,7.83,0.29,0.3,0.92,1.105,58,7.85,7.53,0.33,0.33,0.94,1.071,1
83,84,Asia,52,7.04,7.85,0.29,0.37,0.84,0.677,19,6.47,8.31,0.24,0.41,0.77,0.117,1
84,85,Asia,54,7.26,7.32,0.32,0.32,0.87,1.454,59,6.94,7.04,0.33,0.35,0.82,1.36,1
85,86,Asia,55,7.26,7.27,0.32,0.32,0.87,1.5,60,6.9,7.04,0.33,0.35,0.81,1.307,1
86,87,Africa,56,7.26,7.26,0.32,0.31,0.87,1.545,61,6.89,7.05,0.33,0.35,0.81,1.259,1
87,88,Asia,47,6.97,7.3,0.3,0.33,0.85,1.238,53,7.09,7.88,0.3,0.36,0.85,0.709,1
88,89,Africa,57,7.25,7.25,0.32,0.31,0.88,1.59,62,6.88,7.05,0.33,0.35,0.81,1.214,0
89,90,Asia,48,6.99,7.29,0.3,0.33,0.86,1.285,64,6.9,7.06,0.32,0.34,0.81,1.285,0
90,91,Asia,65,6.9,7.06,0.32,0.34,0.81,1.321,49,6.99,7.3,0.3,0.33,0.85,1.227,0
91,92,Oceania,43,7.33,7.85,0.29,0.34,0.93,0.869,54,7.09,7.88,0.29,0.36,0.85,0.687,0
92,93,Oceania,44,7.28,7.88,0.29,0.34,0.92,0.833,55,7.12,7.83,0.29,0.36,0.86,0.718,0
93,94,Oceania,56,7.58,7.66,0.32,0.32,0.93,1.153,59,7.89,7.57,0.33,0.33,0.95,1.034,0
94,95,Oceania,57,7.62,7.72,0.31,0.32,0.94,1.111,60,7.92,7.61,0.33,0.33,0.96,1.068,0
95,96,Oceania,61,7.93,7.59,0.33,0.32,0.96,1.103,58,7.59,7.73,0.31,0.32,0.94,1.071,1
96,97,Asia,50,7.05,7.34,0.31,0.32,0.86,1.272,20,6.61,8.41,0.24,0.41,0.79,0.111,1
97,98,Asia,51,7.06,7.36,0.3,0.32,0.86,1.318,21,6.68,8.39,0.24,0.41,0.81,0.105,1
98,99,America,59,7.56,7.77,0.31,0.33,0.93,1.034,45,7.28,7.89,0.29,0.34,0.92,0.8,0
99,100,America,60,7.55,7.78,0.31,0.33,0.93,1,46,7.31,7.87,0.29,0.33,0.93,0.84,0
100,101,Africa,58,7.27,7.28,0.32,0.31,0.88,1.521,62,7.96,7.57,0.33,0.32,0.97,1.137,0
101,102,America,61,7.55,7.79,0.31,0.33,0.93,0.967,47,7.32,7.86,0.29,0.33,0.93,0.88,1
102,103,Africa,59,7.29,7.31,0.32,0.31,0.88,1.458,63,7.98,7.59,0.33,0.33,0.97,1.172,0
