,ID,Venue,T1_Mat,T1_AvgRunsScored,T1_AvgRunsConceded,T1_AvgWktsTaken,T1_AvgWktsLost,T1_AvgBound,T1_W/L,T2_Mat,T2_AvgRunsScored,T2_AvgRunsConceded,T2_AvgWktsTaken,T2_AvgWktsLost,T2_AvgBound,T2_W/L,Winner
436,437,Asia,140,7.89,7.68,0.33,0.33,0.97,1.058,127,7.36,7.98,0.29,0.35,0.96,0.814,1
437,438,Asia,131,7.96,8.01,0.31,0.32,1.02,1.298,134,7.71,7.78,0.33,0.3,0.94,1.233,0
438,439,Asia,132,7.96,8.02,0.31,0.32,1.02,1.275,131,7.61,7.86,0.32,0.35,0.94,0.984,0
439,440,Asia,144,7.26,7.4,0.31,0.33,0.87,1.36,141,7.9,7.68,0.33,0.33,0.97,1.073,0
440,441,Asia,142,7.91,7.69,0.33,0.33,0.97,1.088,132,7.61,7.86,0.32,0.35,0.94,1,1
441,442,Asia,130,7.86,7.81,0.3,0.27,0.97,1.653,133,7.62,7.87,0.32,0.34,0.94,0.985,1
442,443,Asia,145,7.26,7.41,0.31,0.33,0.87,1.338,86,6.72,8.02,0.28,0.39,0.8,0.323,1
443,444,Asia,131,7.86,7.81,0.3,0.27,0.97,1.673,134,7.62,7.87,0.32,0.34,0.94,0.97,1
444,445,Asia,146,7.26,7.4,0.31,0.33,0.87,1.354,87,6.71,8.01,0.28,0.39,0.8,0.318,1
445,446,Asia,132,7.86,7.81,0.3,0.27,0.97,1.693,135,7.62,7.88,0.32,0.34,0.94,0.956,1
446,447,Asia,147,7.25,7.39,0.31,0.33,0.87,1.37,88,6.69,7.98,0.28,0.39,0.8,0.313,1
447,448,Asia,148,7.24,7.38,0.31,0.33,0.87,1.387,128,7.36,7.99,0.29,0.35,0.96,0.802,1
448,449,Asia,149,7.26,7.38,0.31,0.33,0.87,1.403,129,7.36,8,0.29,0.35,0.96,0.791,1
449,450,Asia,150,7.26,7.38,0.31,0.33,0.87,1.419,130,7.36,8.01,0.29,0.35,0.96,0.78,1
450,451,America,133,7.96,8.03,0.31,0.32,1.02,1.254,131,7.38,8.03,0.29,0.35,0.96,0.77,0
451,452,America,134,7.94,8.01,0.31,0.32,1.02,1.233,132,7.37,8.01,0.29,0.34,0.96,0.783,1
452,453,America,135,7.94,8.01,0.31,0.32,1.02,1.25,133,7.37,8.01,0.29,0.34,0.96,0.773,0
453,454,America,136,7.95,8.04,0.31,0.32,1.02,1.229,134,7.4,8.03,0.29,0.34,0.96,0.786,1
454,455,America,137,7.96,8.03,0.31,0.32,1.02,1.245,135,7.4,8.04,0.29,0.34,0.96,0.776,0
455,456,Oceania,143,7.91,7.69,0.32,0.33,0.97,1.102,133,7.08,7.81,0.28,0.36,0.84,0.727,1
456,457,Oceania,144,7.9,7.68,0.33,0.33,0.97,1.117,134,7.07,7.81,0.28,0.36,0.84,0.717,1
457,458,Asia,133,7.87,7.8,0.3,0.27,0.97,1.714,136,7.41,8.04,0.29,0.34,0.96,0.789,1
458,459,Oceania,145,7.9,7.67,0.32,0.33,0.97,1.132,135,7.06,7.8,0.28,0.36,0.84,0.708,1
459,460,Asia,134,7.87,7.8,0.3,0.27,0.97,1.734,137,7.4,8.04,0.29,0.34,0.96,0.779,1
460,461,Oceania,146,7.9,7.66,0.32,0.33,0.96,1.147,136,7.06,7.8,0.28,0.36,0.84,0.7,0
461,462,Asia,135,7.87,7.8,0.3,0.27,0.97,1.755,138,7.41,8.05,0.29,0.34,0.96,0.769,1
462,463,Asia,136,7.88,7.81,0.3,0.27,0.97,1.775,137,7.06,7.8,0.28,0.36,0.84,0.712,1
463,464,Asia,137,7.89,7.8,0.3,0.27,0.97,1.795,138,7.06,7.82,0.28,0.36,0.84,0.703,1
464,465,Asia,138,7.91,7.81,0.3,0.27,0.98,1.816,139,7.07,7.84,0.28,0.36,0.84,0.695,1
465,466,Asia,151,7.28,7.4,0.31,0.32,0.88,1.435,147,7.89,7.66,0.32,0.33,0.96,1.13,0
466,467,Asia,148,7.89,7.67,0.32,0.33,0.96,1.144,140,7.06,7.84,0.28,0.36,0.84,0.686,1
467,468,Asia,149,7.9,7.66,0.32,0.32,0.97,1.159,141,7.06,7.85,0.28,0.36,0.84,0.678,1
468,469,Asia,139,7.91,7.8,0.3,0.27,0.98,1.836,135,7.73,7.78,0.33,0.3,0.94,1.25,0
469,470,Asia,150,7.89,7.65,0.33,0.32,0.96,1.173,142,7.05,7.85,0.28,0.36,0.84,0.67,0
470,471,Asia,140,7.92,7.82,0.3,0.27,0.98,1.8,136,7.75,7.8,0.33,0.3,0.94,1.266,0
471,472,Asia,141,7.92,7.82,0.3,0.27,0.98,1.764,137,7.75,7.8,0.33,0.3,0.95,1.283,1
472,473,Asia,142,7.92,7.81,0.3,0.27,0.98,1.784,138,7.74,7.81,0.33,0.3,0.94,1.262,1
473,474,America,139,7.41,8.06,0.29,0.34,0.96,0.759,91,6.66,7.92,0.28,0.39,0.79,0.318,1
474,475,Europe,143,7.92,7.79,0.3,0.27,0.99,1.803,138,7.96,8.04,0.3,0.32,1.02,1.225,1
475,476,America,140,7.43,8.05,0.29,0.34,0.97,0.772,92,6.67,7.94,0.28,0.39,0.79,0.314,1
476,477,Europe,144,7.94,7.79,0.3,0.27,0.99,1.823,139,7.95,8.05,0.3,0.33,1.02,1.206,1
477,478,Europe,145,7.94,7.78,0.31,0.27,0.99,1.843,140,7.94,8.06,0.31,0.33,1.02,1.187,0
478,479,Europe,139,7.72,7.81,0.33,0.3,0.94,1.241,141,7.96,8.07,0.31,0.33,1.02,1.203,0
479,480,Europe,140,7.73,7.84,0.33,0.3,0.95,1.222,142,7.98,8.08,0.31,0.33,1.02,1.218,1
480,481,America,146,7.95,7.8,0.31,0.27,0.99,1.807,141,7.43,8.05,0.29,0.34,0.97,0.784,1
481,482,Europe,141,7.75,7.85,0.33,0.3,0.95,1.238,143,7.98,8.1,0.31,0.33,1.03,1.2,1
482,483,America,147,7.95,7.79,0.31,0.27,0.99,1.826,142,7.42,8.06,0.29,0.34,0.96,0.775,0
483,484,America,148,7.94,7.79,0.31,0.27,0.99,1.792,143,7.42,8.05,0.29,0.34,0.96,0.787,1
484,485,America,149,7.94,7.79,0.3,0.27,0.99,1.811,144,7.42,8.06,0.29,0.34,0.97,0.777,1
485,486,America,150,7.95,7.78,0.31,0.27,0.99,1.83,145,7.41,8.07,0.29,0.34,0.97,0.768,1
486,487,America,136,7.61,7.89,0.32,0.35,0.94,0.942,146,7.41,8.07,0.29,0.34,0.96,0.759,1
487,488,America,137,7.62,7.89,0.32,0.34,0.94,0.957,147,7.41,8.08,0.29,0.34,0.97,0.75,1
488,489,America,138,7.64,7.88,0.32,0.34,0.94,0.971,148,7.4,8.1,0.29,0.34,0.96,0.741,0
489,490,Asia,151,7.95,7.77,0.31,0.27,0.99,1.849,152,7.29,7.41,0.31,0.33,0.88,1.412,1
490,491,Asia,144,7.04,7.86,0.28,0.36,0.84,0.674,94,6.67,7.94,0.28,0.38,0.79,0.305,1
491,492,Asia,152,7.95,7.77,0.31,0.27,0.99,1.867,153,7.29,7.41,0.31,0.33,0.88,1.39,0
492,493,Asia,153,7.95,7.78,0.31,0.27,0.99,1.833,146,7.07,7.87,0.28,0.36,0.84,0.697,0
493,494,Asia,155,7.29,7.41,0.31,0.33,0.88,1.421,147,7.08,7.88,0.28,0.36,0.84,0.709,0
494,495,Asia,156,7.28,7.41,0.31,0.33,0.88,1.4,148,7.08,7.87,0.28,0.36,0.84,0.72,0
495,496,Asia,155,7.97,7.77,0.31,0.27,1,1.818,151,7.9,7.66,0.33,0.32,0.97,1.157,0
496,497,Asia,157,7.27,7.41,0.31,0.33,0.87,1.378,144,7.97,8.1,0.31,0.33,1.02,1.181,0
497,498,Asia,158,7.28,7.42,0.31,0.33,0.87,1.358,145,7.97,8.1,0.31,0.33,1.02,1.196,1
498,499,Asia,156,7.98,7.79,0.31,0.27,1,1.785,152,7.92,7.67,0.33,0.32,0.97,1.171,1
499,500,Asia,159,7.29,7.43,0.31,0.33,0.88,1.373,146,7.98,8.12,0.3,0.33,1.02,1.179,0
500,501,Asia,157,7.99,7.8,0.31,0.27,1,1.803,153,7.92,7.69,0.33,0.32,0.97,1.154,1
501,502,Asia,160,7.29,7.46,0.31,0.33,0.88,1.352,147,8,8.12,0.3,0.33,1.03,1.194,1
502,503,Asia,158,8,7.81,0.31,0.27,1,1.821,142,7.76,7.83,0.33,0.3,0.95,1.253,1
503,504,Asia,161,7.3,7.46,0.31,0.33,0.87,1.367,148,8,8.12,0.3,0.33,1.03,1.176,1
504,505,Asia,162,7.3,7.46,0.31,0.33,0.87,1.382,149,7.99,8.11,0.3,0.33,1.03,1.159,0
505,506,Asia,159,7.99,7.79,0.31,0.27,1,1.839,143,7.74,7.83,0.33,0.3,0.95,1.234,1
506,507,Asia,163,7.3,7.48,0.31,0.33,0.87,1.362,150,8.01,8.11,0.3,0.33,1.03,1.173,0
507,508,Asia,160,8.01,7.81,0.31,0.27,1.01,1.857,144,7.76,7.86,0.33,0.3,0.95,1.215,0
508,509,Oceania,154,7.93,7.7,0.32,0.32,0.98,1.138,149,7.4,8.09,0.29,0.34,0.96,0.752,1
509,510,Oceania,164,7.3,7.49,0.31,0.33,0.87,1.342,95,6.7,7.96,0.28,0.38,0.79,0.301,1
510,511,Oceania,155,7.93,7.69,0.33,0.32,0.97,1.152,150,7.39,8.09,0.29,0.34,0.96,0.744,1
511,512,Oceania,165,7.3,7.49,0.31,0.33,0.87,1.357,139,7.63,7.88,0.32,0.34,0.94,0.957,1
512,513,Oceania,140,7.63,7.88,0.32,0.34,0.94,0.944,96,6.7,7.96,0.28,0.38,0.79,0.297,1
513,514,Oceania,151,8.02,8.1,0.3,0.33,1.04,1.188,156,7.93,7.69,0.33,0.32,0.98,1.166,1
514,515,Oceania,166,7.31,7.49,0.31,0.33,0.88,1.371,141,7.63,7.87,0.32,0.34,0.94,0.958,0
515,516,Oceania,142,7.63,7.86,0.32,0.34,0.93,0.972,97,6.7,7.96,0.28,0.38,0.79,0.293,1
516,517,Oceania,152,8.03,8.12,0.31,0.33,1.04,1.202,157,7.94,7.71,0.33,0.33,0.98,1.15,1
517,518,Oceania,167,7.3,7.49,0.31,0.33,0.87,1.352,98,6.7,7.99,0.27,0.38,0.79,0.289,1
518,519,Oceania,168,7.31,7.5,0.31,0.33,0.88,1.366,143,7.65,7.86,0.32,0.34,0.94,0.986,1
